,description_2
72,"Information   Visualization   Expert   IBM,  App   Creator ,  Photographer ,  Entrepreneur .  Life  is a  Highway .  My   Opinions , not IBM's."
73,Sushi -propelled idea monkey.
74,"Artist , researcher, educator, instigator; director of the  creativeinquiry lab at CMU.  Tweets  about new media & digital culture."
75,"Author  http://t.co/XY Bi 0vd Ac 4,  Keynote  speaker,  President  http://t.co/o4V Vfie 124, infographics,  Data Viz ,  Huff Post  contributor,  Instructor   SMUCAPE,  DFW Data Viz"
76,Deputy   Graphics   Director  at  The   New   York   Times
77,Reduce  to the essence.  Account  is managed by  reichenstein
78,"San   Francisco  design and technology studio, maps and data visualization."
79,"Cofounder , CSC  Labs ;  Cofounder , http://t.co/oeO Ntuwm Wg ;  Author  of  Big   Data  for  Chimps . I build tools to  Organize ,  Explore  and  Comprehend  massive data sources."
80,Shining  sunlight on government data and eating burritos
81,"Founder , https://t.co/Q Qb SDJ7tko"
82,"computational design, data, interaction, code, opensource, art, education, research, MA ( Hons ) of  Nothing"
83,MS  Excel  programmer and chart master.  Visit  my site and   Peltier Tech  for tutorials and add-ins.
84,KPCB | TED: https://t.co/mdcYY1u Suk  | ( Technology Design Business ) People  =   Design Dot Co  |  Sonos  |  Wieden + Kennedy
85,"Data  visualization as design, science, art, journalism.  Co -leader of  Google 's  Big   Picture  visualization research group."
86,"Daytum  helps you collect, categorize and communicate your everyday data."
87,"Infochimps , a  CSC  Big   Data   Business  makes it faster, easier & far less complex to build & manage big data apps in the cloud & quickly deliver insights."
88,"We  are a creative agency that specializes in data visualization and visual storytelling.  We  are hiring, join us! http://t.co/84jx2dn Maf"
89,"UI  Designer  by day, founder of  storetellee by night.  In  general, designer based in  Berlin ,  Germany , primarily covering  Interaction   Design ."
90,"Digital   analytics agency creating the  Super Tag  &  Optima Hub  for  media  attribution & data driven  marketing. AU, NZ, SG, UK, DE, US.  Our  CEO tweets  cbartens."
91,Platform  for generative art and computational design by  mariuswatz.
92,Capture  your life in data one tweet at a time.  Auto -follow is turned off.  Tweet   flowingdata.
93,Art  /  Media  /  Technology  +  HOL Omagazine
94,Indexing  the world's economy.
95,"Jer   Thorp  is a software artist, writer, and educator living in  Brooklyn .  He  is a co-founder of  The   Office  for  Creative   Research  & adjunct professor at ITP."
96,We  are a  Data   Experience  +  Interactive   Data   Visualization  agency.
97,"REAS  Studio , UCLA DMA, http://t.co/ Pm Uc LP Fhv I"
98,IA/UX  Designer  and  Web   Globalization   Design   Stategist :  Muses  and  Musings  on the  Nature  of  Visualizing   Data
99,Editor  of  Datavisualization .ch the premier news and knowledge resource for data visualization and infographics.
100,"Scientist ,  Designer , and  Teacher .  Assoc   Prof  of  Comp Sci  in visualization at  Mississippi   State   University .  Believes  information wants to be seen.  Loves   Python ."
101,Dolores   Labs  is a coworking space in the  San   Francisco   Mission  district.  Its  run by  trinityventures.  Drop  by and say hi! ( Formerly   crowdflower)
102,"Editor  of   Guardian Visuals   guardian.  Formerly    Nat Geo   nytimes.  Dad , husband,  Galician . I've been told I can cook."
103,"Qlik   Data Market  is a   Qlik  product, providing effortless access to 3rd party data from  Qlik View  and  Qlik   Sense ."
104,"Official   Twitter   Account  of http://t.co/ Fzhy B1J Zyt , news and community for visual thinkers"
105,A magazine for the global citizen
106,Data  visualizer
107,"Data  visualizations that inform and/or intrigue. 
 Personal  tweets at  vdmoere."
108,Share  your  Processing  sketches at http://t.co/c Su L1wCAQJ  generativeart  creativecoding  design
109,"Making  beautiful data graphics about economics since 2004. 
 Read  my book:  An   Illustrated   Guide  to  Income  in the  United   States  here http://t.co/cbk Sno VD8k"
110,"Infographic  and  Data   Visualization   Designer ,  Educator  &  Artist .  Graphic  faciliation & recording.  Director  of  New   Media   Design  at  Queens   University  of  Charlotte ."
111,"Human   Tech .  Data   Art .  Co -founder, CTO -  Vrse ,  Inc ."
112,Australia 's leading data visualisation studio.  We  solve problems by designing and creating interactive  Data   Visualisations  that enhance understanding.
113,Data -driven journalism by the   Guardian .
114,Information  graphics that are potent enough to make you think twice.  Created  by http://t.co/ Wvl K Afk Y0u
115,http://t.co/fAP Gaked Xj   Graph  expert.  Consultant  & speaker on better data graphing techniques.  Author   Creating   More   Effective   Graphs    Data Viz
116,Telling  complex stories in visual form.
117,love design graphics visualisation sharing learning testing collaborating motivating challenged quirky innovation creativity data
118,"CEO of  Innova Tech , a business intelligence and data warehousing consulting firm"
119,Swivel  is a website where people can explore numbers and share insights.
120,Graphics   Editor  at http://t.co/5gE Sirnht 7.  Previously  at  Los   Angeles   Times  and  The   Boston   Globe .  Infografista  de  Bilbao .
121,"The  best charts from  businessinsider,  themoneygame,  sai,  clusterstock, and  BI_sports."
122,"Harvard   Professor  (social scientist, statistician).  Co -founder  Crimson   Hexagon ,  Learning   Catalytics , etc."
123,"Information  graphics.  Now   Deputy   Director  of  Arts ,  Maps , and  Graphics  at  National   Geographic , but this is a personal account"
124,The  art of sports statistics.  Check  out our print shop.
125,"Founder  of data visualization studio  Pitch   Interactive , co-organizer of  eyeofestival, technologist, futurist, data artist, traveler, marveler, provocateur."
126,"Density Design  is a  Research   Lab  of the  Politecnico  di  Milano .  It  focuses on the visual representation of complex social, organizational and urban phenomena."
127,Public  data put to good use.
128,"Data   Science ,  Machine   Learning ,  Text   Analytics ,  Innovation   Analytics .  Angel   Investor   constantdotco"
129,infographics the experts in DIY content development
130,MEDIA VISUAL /  Visual  revealing online social interactions on twitter ...  Follow  to join! ...  Tweets  by  endlesscities  ethel_baraona  radarqnet
131,"Founder    Fathom Info , co-founder   Processing Org , avoids having picture taken."
132,David   Mc Candless ' data-visualizations & information graphics | 588 created to date |  New  book  Knowledge  is  Beautiful  out now: http://t.co/E0eQ96Y Wh 2
133,"Infographics ,  Real   Time   Data   Visualization  for BI and CI,  Social  graph and analysis"
134,"We  show, we dont tell.  Graphics , maps, photo & data for  guardian"
135,
136,Winner  of  Apps  for  America  2. A fun way to remix federal data by  Forum   One   Communications    Forum One
137,Truth  &  Beauty   Operator
138,"Sometimes  failing, sometimes succeeding.  Always  learning. https://t.co/g9kS3m9N Be"
139,"Data   Science   mendeley_com and   Elsevier Connect    Rec Sys    Machine Learning    Big Data 
https://t.co/3i Er 6g Mpy G"
140,Lecturer  at  Queensland   University  of  Technology
141,Two  women who switched continents get to know each other through the data they draw and send across the pond http://t.co/onANN731UN by  giorgialupi and  stefpos
142,"Information  designer practising pencil-based computation.  Drawing  a book as 1/2 of  _deardata for  penguinU Kbooks , out  Sept  2016.  Economic  migrant.  Feminist ."
143,Information  designer.  Co -founder and design director at  Accurat  http://t.co/wgAW Wqu ZUG  accuratstudio.  Drawing  weekly data as 1/2 of  _deardata from  New   York
144,Data  visualization and visual storytelling.  Research  scientist at  Tableau   Software .  Recovering  academic.  Runner .  Blog  feed at  eagereyes_feed.
145,"Data  visualisation specialist:  Freelance  design consultant, trainer, blog editor, researcher & author.  Visiting  lecturer at MICA (US) and  Imperial   College  (UK)."
146,"Accurat  is an information design agency.
 We  research and analyze data and contexts, and design visual tools and narratives."
147,Data   Visualization  with  Java Script  ( stephen_thomas for general tweets)
148,"Living  a life full of fun, travel, and video gaming.  Formerly  at   Apple ,   Play Station  &   Sephora .  Now  the  Developer   Programs   Manager    Leap Motion !"
149,[  Data   Alchemist  ][  d3unconf ][ http://t.co/gxaF Aogo Ma  ][ formerly  lever ]
150,Strategic   Communications   Consultant  for technology industry.  Ed Tech   Trends  author and  Content   Marketing  specialist.   Startups   PR   Crowdfunding   LEGO   Star Wars
151,An  open-source  Java Script  library for world-class 3D globes and maps.   Web GL
152,
153,Business   Intelligence   Sr .  Analyst .  Data   Lover .  Tableau  enthusiast.  Do - Gooder .  Tech   Lover .  Future   Tesla   Owner .  Data   Blog : https://t.co/d Qd 4py5 Ka O
154,We  are   Anonymous .  Occasional  dose of lulz.  Multiple  anons use this account. RT/follow != endorsement.   Op ISIS   Op Single Gateway    Op Nimr    Anon Family
155,"Chief   Geospatial   Scientist ,  Ordnance   Survey .  Hon   Assistant   Prof ,  Uni   Nottingham ;  Hon   Senior   Lecturer ,  Uni   Coll   London .  My  views not my employer's.  HTJI  COYLP"
156,Researcher  in geovisualisation & web mapping   UCL  Dept  of  Geography .  Working  on open data mining/ synthesis. I created  Data Shine .  Mainly  tweet  London  ephemera.
157,"The  UK's  Government   Statistical   Service  - producers of official statistics, analysis and advice."
158,"Dr  of  Geography , creator of the 2011 OAC, fan of maps and occasional tweeter.  My  research tends to have a geodemographic focus."
159,"Network  analysis, machine learning & information visualization.  Data   Science     Linked In ,  Lecturer  at  Berkeley ."
160,"Insights  and updates from the world's best social intelligence platform.   Brandwatch ES   Brandwatch DE 
  Brandwatch FR"
161,Founder  and CEO of  Brandwatch . likes stars. thought follower
162,"SPACEGOO provides 3D development services, using  Web GL technology.  We  build product configurators, games, interactive applications, simulators, 3D viewers..."
163,
164,WIRED is where tomorrow is realized.
165,"How  can technology help us make  Cambridge  a better place to live?  Join  us as on the 31st of  Oct  for workshops, displays and a 24 hour city hack   Cambjunction"
166,Making  pretty pictures with code
167,"Math   Data   Scientist   AXA France  interested in any problem that needs to be solved by   Machine Learning  and   Dataviz .
 entrepreneur"
168,Insight   Data   Science   Fellows   Program
169,"Writer  &  Developer . SVG guru, policy nut, science nerd, & music fan.  Trying  to live up to title of  Invited   Expert  on SVG+ARIA.
 Amelia BR on  Code Pen / Git Hub /etc."
170,"Wine   Pro ,  Partner  in  Vino Vin .  Currently  specializing in promoting boutique wine for the masses.  Coming  to a smartphone near you (once you follow.)"
171,"programmer, feminist, half-elf rogue, completely unable to remove a yogurt lid in one piece   http://t.co/ Wmc 2d Pz R Ck  she/her"
172,Product   Designer  learning to code in  Haskell    Data Mascara   NY Haskell    Compose Conf   NYC Python    Py Data
173,Colouring  outside the lines at   Git Hub .
174,"Empowering   Developers  through  Advocacy ,  Evangelism  and  Open   Source    Author ,  Speaker ,  Developer    Creator  of  Hugo ,  Cobra  & spf13-vim  former  Docker  &  Mongo DB"
175," iOS  Developer ,  Speaker . 
I created:  Objective -C  Playgrounds ,  foldify, 3D engines,  App   Store   Essential  apps.

 Not  done & learning something new every day."
176,"Applied   Math    Programming  , at ONS  Big   Data  team.  All  views my own."
177, dropbox engineer.  Formerly   recursecenter facilitator.
178,"LEARNING TO DRAW DINOSAURS

 recursecenter pseudonym:  House   Periodical"
179,"Tools  & toys, systems & stories.  Agender ; any pronouns.  Student   USC_IMGD."
180,Photographic  dispatches from  Planet   Earth .
181,Data  journalist based in  London .  Head  of interactive news   Financial Times . |  ftdata |  ddj | PGP: 82AC A19A 2708 FE96 2C79 F636 5927 CBBF E81E F667
182,"Big   Data   Child    ONS  Always  on the wide eyed lookout for fun, friends, excitement and occasionally refinement.  All  views are my own."
183,News  and updates from  Google
184,
185,"Computer   Scientist  and coffee culturalist.  Executive   Director  of the  Recruit   Institute  of  Technology .  Former   Googler , author of  The   Infinite   Emotions  of  Coffee ."
186,"This  is the official  Twitter  ID of IBM  Research .  The  account is managed by  Chris   Sciacca  and  Chris   Nay , and follows the IBM  Social   Computing   Guidelines ."
187,"Googler ,  Open   Source   Dude ,  Dad"
188,"Distinguished  researcher at  Google , former  Penn  professor, ML/NLP researcher, fanatic skier: https://t.co/J13xqg Xzwd"
189,"Want  to be a  Googler ?  We 're hiring!  Keep  up with our job opportunities, offices, culture, and everything else that makes up life at  Google ."
190,A  Google  a  Day  is a new daily puzzle that can be solved using your creativity and clever search skills on  Google
191,"Digital  measurement news, tips & trends from the  Google   Analytics  team.  Improve  your analysis skills today at our  Analytics   Academy : https://t.co/ Fy D0id0i1e"
192,"Building  tools for modern applications, making developers more productive, and giving you the power to build on  Google 's computing infrastructure."
193,News  about and from  Google  developers.
194,"At   Google , research is performed company wide; we conduct and leverage research to build large-scale systems that are used in the real world."
195,VP data science at  Skimlinks .  Organiser  of  Machine   Learning   London  and  Spark   London   Meetups .  Into : machine learning at scale.
196,I love math
197,
198,O' Reilly   Media 's group blog about emerging technologies.  Twitter  feed managed by   Jenn Webb .
199,"Statistician , with a specialty in visualization and a background in eating and beer.  Flowing Data ."
200,Documenting  my path from SQL  Data   Analyst  pursuing M. Eng . to  Data   Scientist  // currently building   Data Sci Guide  // less-data-sciencey personal tweets:  paix120
201,Scottish  solar physics postdoc at NASA  Marshall   Space   Flight   Center .  Love  all things space related.  Interested  in data analysis and image processing.
202,Data   Scientist    Microsoft  .  Michigander  living in  Seattle .  Tweets  are my own.
203,Ex -astronomer turned start-up CEO of   Pivigo Hub .  Lead  organiser of  S2DS_ School .  Passionate  about all things data.
204,"Bioinformatics , computational biology, genomics,  Women  in  Science"
205,"Founder  and fearless leader at  dsfaco, organizer at   Py Data Chi , GIF-obsessed developer at   Project Jupyter , and coffee addict."
206,"- Data   Science  *  Gameplay  *  Chick -  Social  systems analysis, collective intelligence, neuroscience and funny things.  Also , poking recklessly at sensitive topics."
207,"ARC DECRA fellow and senior lecturer  UNSW.  Answering  ecological questions with  satellite,  spatial and field data  water,  geospatial science,  networks."
208,"  Spatial   ecology,  GIS, ecological modeling. GIS  Analyst    Nat Cap Project .  All  tweets mine alone!"
209,"UBC computer science professor, visualization"
210,"Ph D  Student ,  Biostatistics   Department   Johns   Hopkins .  Neuroimaging ,  Structural  MRI,  Big   Data  with a side of  Biking  and  Yoga  :)"
211,"Assistant   Professor  of  Biostatistics ,  Brown   University .  Neuroimaging ."
212,"CMU ECE alum,  Machine  learning enthusiast,  Application  developer,  Co -founder at   Hire Shutter , moody poetess, lousy shopper, movie buff, singer"
213,MS  Student  in  Predictive   Analytics   CDM De Paul    Co - Host  of   Rtalkpodcast    Developer  of  shiny_GEO   Data   Sci   Intern   thehartford |  datascience  rstats
214,Programming  with data - R  Python  SQL  Linux  - and other trivialities
215,"Data   Engineer  at  avant_us. I (re)tweet about coding, cycling, and walkable cities.  Views  are my own."
216,"Ex - Mathematician , current  Data   Scientist     Neustar   Research"
217,Code   Imperator    Neustar  .  One  of the  technicalhumans.   Bulletproof   Bio -hacker.  Intersectionality  or get out.
218,"Social   Media   Listening   Manager ,  Market   Researcher ,  Data   Scientist ,  Social   Psychology   Ph .D.  Now    Adobe , formerly   Dell    Opinions Mine"
219,"Senior   Analytics   Manager .  Marketing  head and statistical heart.  Passionately  curious about   Data Science ,   Analytics  and   Digital Marketing"
220,"prof at UBC, humane  rstats, statistics, genomics, teach  STAT545"
221,"Spreading  the  bigdata and  analytics message to data driven companies.  Tweeting  about   Io T,  cloud,  visualanalytics,  sas.  Opinions  are my own."
222,
223,I write about statistics at https://t.co/AI Dq 3ieiQ6
224,Data   Science  &  Innovation  | VP   Booz Allen  |  Board  of  Directors   ICE_ Foundation  |   Data Science    Big Data    Advanced Analytics    Io T   Social Good
225,"Passionate  about   Big Data    Data Science    Statistics    Psychology    Intelligence Analysis    Security     Willis Towers Watson  
https://t.co/xp Sw 08 Ho Kx"
226,"Data   Scientist    Fitbit  // 
 The  postings on this site are my own and do not represent those of my employer,  Fitbit ,  Inc ."
227,"The  desire to know is my addiction!!  On  a   Data Science  adventure collecting   Data Scientist  friends & mentors.  In  time, a  data expert."
228,I'm currently a grad student working for a  Ph D in  Statistics  from  Iowa   State   University .
229,"Bioinformatics   Ph D student interested in: sRNA-seq, tRNA, data visualization,  Python , R, D3.js, new technologies, startups, photography, formerly a  Seattleite"
230,
231, OFA  Alumni  - NJ    Social   Entrepreneur     Healthcare     Data Scientist  .   Finance     Tech   Junkie     Big Data   Lover  of  Mankind . R Ts  & follows  endorsements
232,"A sceptical statistician.  Changing  the world one statistic at a time... or so I'd like to think.  We 're hiring   Uber , talk to me if you're interested!"
233,Data   Scientist  and martini shaker.
234,"data scientist  nuggad,  Ph .D in economic geography.  Interested  in  R,  SNA &  graphmining.   Python  &  machinelearning newbie"
235,"designer of data, lover of dogs, herder of cats, manager of projects, wrangler of R, learner of javascript, reader of fiction, climber of mountains."
236,"I'm a researcher in combinatorics and a computer science professor, I love math, programming and  Science  in general!"
237,Links  to the sources are in each tweet.
238,I am a data scientist for  Booz   Allen .
239,2nd gen  Aussie  living on  Wiradjuri  land.
240,"Ph .D. student in  Computer   Science   penn_state and long time ago freelance model.  From   Taiwan .  Love   Data ,  Python , and shoes."
241,"Historian  of science, ethnographer of contemporary research institutions.  Once  upon a time  D Lab At Berkeley ."
242,Senior   Health   Researcher    Math Pol Research .  Data ! Data ! Data ! I can't make bricks without clay. ( Tweets  = own)
243,"Life  is too short to take it seriously.  Having  fun, and learning something new every day.  Opinions  are my own."
244,Experienced  analyst with mad data skills.  Adventurista .  Food  truck foodie.
245,Assistant   Professor  at the  Innovation   Center  for  Biomedical   Informatics  and in  Oncology  and  Biostatistics  at  Georgetown   Univ   Med   Center .  My  tweets are my own.
246,"SDE    Amazon , former JS codemonkey    Nickelodeon .  Stupid  tweets and terrible pictures are my own."
247, umdcs  Ph D  Student  -  hcil_umd   College Park MC2 labs.  Former   IB Mer . 2015  datascifellows. CS  Ed   Enthusiast . https://t.co/kSO9k2M Xd 8 creator.  Tweets  are my own.
248,"Founder  at  Marketing - Taiwan .  Co -founder at  Elastic Mining .  Experts  in  Marketing ,  Market   Research  &  Data   Analytics .  Love  reading, travelling and sports."
249,"passionate about data and development,  Economist / Data   Scientist    World Bank , recent grad of  mpaid   Harvard   kennedy_school, hardcore bike commuter"
250,Engineering   Manager |  Woman  in  Data |  Diversity   Advocate  for  Women  in  Technology |  Speaking  for myself not my employer
251,"Data  science, research, communication, synthesis"
252,"People  scientist, coffee lover, and enthusiastic baker."
253,  statistics |  datascience |  civictech forever a student https://t.co/RONU Dd Nkuu
254,"Assistant   Professor ,  Microsoft  faculty fellow,  Sloan  fellow, machine learning, probabilistic models, tensor methods, optimization   Data Scientist   UC Irvine"
255,Data   Scientist   TIBCO   Spotfire
256,"Co -founder of  datasocietyco; word nerd, science lover, data junkie, cheese aficionado"
257,Online - Marketing - Manager  at  Blue Yonder .  Leading   Saa S  Provider  for   Predictive Applications .  Precise  forecasts for automated decisions.  predictiveanalytics
258,"Research  analyst at  DD Iworld  & author w/ focus on executive leadership, women in business, mentoring, HR & workplace trends |   Data Science  |   Analytics"
259,I add data to science and make machines learn. I keep sane through yoga and meditation. I'm a big fan of people--especially women--doing kickass things.
260,"Data   Science  and  Machine   Learning ,  Microsoft  |   Azure ML   Cortana Analytics    Big Data    Statistics    Analytics    Technology"
261,"Data  scientist, finishing my masters in predictive analytics at  Northwestern   University ."
262,"Women  in  Machine   Learning  &  Data   Science  | local meetups inspired by   Wi M Lworkshop  |
 Bay   Area : https://t.co/yGKVVR Wp Gq  | 
NYC: https://t.co/ Jzmd Ne YI Nb"
263,Associate   Professor  of  Statistics
264,Cosmology  and  Statistics
265,Data   Science  alum of  UVADSI |  Explorer  of data sources |  Seeker  of ideas |  Problem  solver for humanity |  Citizen  of the world https://t.co/b0 Qqo O Xur C
266,"Urban  planner & GIS analyst by trade, now managing a smart, diverse team in higher-ed fundraising  Analytics  & BI -- boldy entering the world of big data!"
267,Data   Scientist
268,"Cofounder  + CEO  impacthealthio,   Techstars  '15.  Healthcare  fixer, tech geek & ocean lover.  Making  consumer healthcare a reality."
269,"Non -profit  datanerd,  civictech enthusiast,  NBA stats junkie, using  data4good (and/or dominating fantasy sports), less popular half of  batpigandme"
270,"Data   Scientist   pixlee,  Engineer ,  Physical   Oceanographer ,  Water   Quality   Scientist"
271,"  Data Scientist  in training  UVA delving into  bigdata w/   Python ,  R Stats , and  SAS"
272,R  Consultant  for  Mango   Solutions   mangothecat  rstats  datascience
273,"Challenging  societal confinements
  Columbia 2014  engineer  student"
274,"Working  to increase ROI on big data, specifically in the area of healthcare. I think big. I dream big.  The  solutions are in the 1s and 0s."
275,"data scientist, biomedical writer, materials engineer, and mom"
276,"M Sc   Data   Science  student at  Goldsmiths ,  University  of  London"
277,"Working  in   Social Media Marketing  at  Blue   Yonder .  Interested  in   Digital Marketing ,   Customer Journey ,   Big Data    Predictive Analytics"
278,"Astronomer  turning data scientist.  Interested  in data analytics, visualization and big data.  And  how to move careers!"
279,"I was a classic type-A overachiever, but I quit the rat race for a simple life in paradise.  peace  freedom &  travel  You   data?  Go  see  bigdatagal!"
280,Bring  on the algorithms!
281,"Developer  /  Team   Lead ,  Data   Science     Samsung  SDS.  Formerly    Livermore _ Lab ,  Yahoo ,  stanfordeng,   Caltech ."
282,"The   Federation  of  Earth   Science   Information   Partners  ( ESI Pfed ) is an interdisciplinary community that brings together  science,  data + IT practitioners."
283,Official  NASA account of  Landsata  series of  Earth -observing satellite missions jointly managed by NASA & USGS.  First  launch was in 1972; latest in  Feb . 2013.
284,"Your  planet is changing, and were on it. NASA uses the vantage point of space to increase our understanding of  Earth  and improve lives.   Earth Right Now"
285,"Discover  the  Earth   Observing   System   Data  and  Information   System  (EOSDIS) data, information, services and tools.  Tap  into our resources!"
286," pinterest engineer.  usds reserve.  homebrew advisor. prev  quora,  stanford, summers at $fb, $goog. i turn coffee into code. i like yoga, climbing, & running."
287,"Junk   Charts ;  Numbers   Rule   Your   World ;  Numbersense .  Business  analytics leader, author, blogger, educator, dataviz critic."
288,Official   Big Data Week   Account  -  Connecting  global communities to share knowledge + strategies about  bigdata.
